MAL_ID,Name,Score
42361,"Ijiranaide, Nagatoro-san",6
,,
35413,Imouto sae Ireba Ii.,9
,,
37045,Imouto sae Ireba Ii. (ONA),5
,,
20457,"Inari, Konkon, Koi Iroha.",7
,,
25159,Inou-Battle wa Nichijou-kei no Naka de,7
,,
37497,Irozuku Sekai no Ashita kara,7
,,
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,6
,,
41623,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,5
,,
49220,Isekai Ojisan,7
,,
38472,Isekai Quartet,8
,,
39988,Isekai Quartet 2,7
,,
41567,Isekai Quartet Movie: Another World,7
,,
34012,Isekai Shokudou,4
,,
35203,Isekai wa Smartphone to Tomo ni.,9
,,
51632,Isekai wa Smartphone to Tomo ni. 2,7
,,
21327,Isshuukan Friends.,7
,,
38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,8
,,
41514,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,7
,,
48753,Jahy-sama wa Kujikenai!,3
,,
40530,Jaku-Chara Tomozaki-kun,6
,,
39534,Jibaku Shounen Hanako-kun,7
,,
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,0
,,
29785,Jitsu wa Watashi wa,6
,,
40787,Josee to Tora to Sakana-tachi,9
,,
38619,Joshikousei no Mudazukai,6
,,
12679,Joshiraku,2
,,
35639,Just Because!,7
,,
5680,K-On!,5
,,
9617,K-On! Movie,6
,,
7791,K-On!!,6
,,
9734,K-On!!: Keikaku!,5
,,
6862,K-On!: Live House!,5
,,
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,6
,,
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,7
,,
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,6
,,
40750,Kaifuku Jutsushi no Yarinaoshi,0
,,
34933,Kakegurui,7
,,
50339,Kakegurui Twin,4
,,
37086,Kakegurui××,6
,,
40716,Kakushigoto,7
,,
44586,Kakushigoto Movie,7
,,
8525,Kami nomi zo Shiru Sekai,8
,,
10080,Kami nomi zo Shiru Sekai II,7
,,
16706,Kami nomi zo Shiru Sekai: Megami-hen,7
,,
15117,Kami nomi zo Shiru Sekai: Tenri-hen,6
,,
41930,Kamisama ni Natta Hi,6
,,
19685,Kanojo ga Flag wo Oraretara,8
,,
43969,Kanojo mo Kanojo,7
,,
32491,Kanojo to Kanojo no Neko: Everything Flows,6
,,
40839,"Kanojo, Okarishimasu",5
,,
35860,Karakai Jouzu no Takagi-san,7
,,
38993,Karakai Jouzu no Takagi-san 2,6
,,
45613,Kawaii dake ja Nai Shikimori-san,7
,,
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,7
,,
34825,Keppeki Danshi! Aoyama-kun,7
,,
11079,Kill Me Baby,6
,,
38000,Kimetsu no Yaiba,6
,,
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,7
,,
6045,Kimi ni Todoke,6
,,
9656,Kimi ni Todoke 2nd Season,6
,,
32281,Kimi no Na wa.,5
,,
36098,Kimi no Suizou wo Tabetai,6
,,
49835,Kimi wo Aishita Hitori no Boku e,4
,,
16732,Kiniro Mosaic,5
,,
37475,Kishuku Gakkou no Juliet,8
,,
9260,Kizumonogatari I: Tekketsu-hen,9
,,
31757,Kizumonogatari II: Nekketsu-hen,9
,,
31758,Kizumonogatari III: Reiketsu-hen,10
,,
33206,Kobayashi-san Chi no Maid Dragon,8
,,
39247,Kobayashi-san Chi no Maid Dragon S,7
,,
28851,Koe no Katachi,4
,,
41103,Koi to Yobu ni wa Kimochi Warui,5
,,
11887,Kokoro Connect,7
,,
16001,Kokoro Connect: Michi Random,5
,,
48926,"Komi-san wa, Comyushou desu.",8
,,
31091,Komori-san wa Kotowarenai!,5
,,
51958,Kono Subarashii Sekai ni Bakuen wo!,8
,,
30831,Kono Subarashii Sekai ni Shukufuku wo!,9
,,
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,8
,,
34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,7
